Year,Industry,Gas Type,Gas Name,Emissions,,,,,
2001,"Electricity, gas, steam and air conditioning supply",CO2,Carbon Dioxide,"178,824.3",,,,,
2001,"Water supply; sewerage, waste management and remediation activities",CO2,Carbon Dioxide,"4,121.0",,,,,
2001,Construction,CO2,Carbon Dioxide,"11,543.8",,,,,
2001,Wholesale and retail trade; repair of motor vehicles and motorcycles,CO2,Carbon Dioxide,"12,462.8",,,,,
2001,Transport and storage,CO2,Carbon Dioxide,"96,123.7",,,,,
2001,Accommodation and food services,CO2,Carbon Dioxide,"3,675.3",,,,,
2001,Information and communication,CO2,Carbon Dioxide,"1,217.5",,,,,
2001,Financial and insurance activities,CO2,Carbon Dioxide,328.8,,,,,
2001,Real estate activities,CO2,Carbon Dioxide,866.9,,,,,
2001,"Professional, scientific and technical activities",CO2,Carbon Dioxide,"2,505.3",,,,,
2001,Administrative and support service activities,CO2,Carbon Dioxide,"3,066.6",,,,,
2001,Public administration and defence; compulsory social security,CO2,Carbon Dioxide,"8,939.4",,,,,
2001,Education,CO2,Carbon Dioxide,"4,217.8",,,,,
2001,Human health and social work activities,CO2,Carbon Dioxide,"4,611.0",,,,,
2001,"Arts, entertainment and recreation",CO2,Carbon Dioxide,"1,468.0",,,,,
2001,Other service activities,CO2,Carbon Dioxide,"1,229.7",,,,,
2001,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,CO2,Carbon Dioxide,52.2,,,,,
2001,Consumer expenditure,CO2,Carbon Dioxide,"154,103.4",,,,,
2002,"Agriculture, forestry and fishing",CO2,Carbon Dioxide,"7,291.3",,,,,
2002,Mining and quarrying,CO2,Carbon Dioxide,"27,481.4",,,,,
2002,Manufacturing,CO2,Carbon Dioxide,"115,692.9",,,,,
2002,"Electricity, gas, steam and air conditioning supply",CO2,Carbon Dioxide,"174,435.7",,,,,
2002,"Water supply; sewerage, waste management and remediation activities",CO2,Carbon Dioxide,"3,725.8",,,,,
2002,Construction,CO2,Carbon Dioxide,"11,612.1",,,,,
2002,Wholesale and retail trade; repair of motor vehicles and motorcycles,CO2,Carbon Dioxide,"11,870.6",,,,,
2002,Transport and storage,CO2,Carbon Dioxide,"92,665.2",,,,,
2002,Accommodation and food services,CO2,Carbon Dioxide,"3,145.8",,,,,
2002,Information and communication,CO2,Carbon Dioxide,"1,093.8",,,,,
2002,Financial and insurance activities,CO2,Carbon Dioxide,278.9,,,,,
2002,Real estate activities,CO2,Carbon Dioxide,779.7,,,,,
2002,"Professional, scientific and technical activities",CO2,Carbon Dioxide,"2,203.5",,,,,
2002,Administrative and support service activities,CO2,Carbon Dioxide,"2,890.1",,,,,
2002,Public administration and defence; compulsory social security,CO2,Carbon Dioxide,"8,586.2",,,,,
2002,Education,CO2,Carbon Dioxide,"3,605.9",,,,,
2002,Human health and social work activities,CO2,Carbon Dioxide,"3,601.0",,,,,
2002,"Arts, entertainment and recreation",CO2,Carbon Dioxide,"1,223.9",,,,,
2002,Other service activities,CO2,Carbon Dioxide,"1,078.5",,,,,
2002,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,CO2,Carbon Dioxide,41.8,,,,,
2002,Consumer expenditure,CO2,Carbon Dioxide,"153,343.0",,,,,
2003,"Agriculture, forestry and fishing",CO2,Carbon Dioxide,"7,989.0",,,,,
2003,Mining and quarrying,CO2,Carbon Dioxide,"26,171.0",,,,,
2003,Manufacturing,CO2,Carbon Dioxide,"118,804.7",,,,,
2003,"Electricity, gas, steam and air conditioning supply",CO2,Carbon Dioxide,"183,768.0",,,,,
2003,"Water supply; sewerage, waste management and remediation activities",CO2,Carbon Dioxide,"3,506.9",,,,,
2003,Construction,CO2,Carbon Dioxide,"11,848.7",,,,,
2003,Wholesale and retail trade; repair of motor vehicles and motorcycles,CO2,Carbon Dioxide,"12,087.9",,,,,
2003,Transport and storage,CO2,Carbon Dioxide,"92,645.9",,,,,
2003,Accommodation and food services,CO2,Carbon Dioxide,"3,361.1",,,,,
2003,Information and communication,CO2,Carbon Dioxide,"1,101.6",,,,,
2003,Financial and insurance activities,CO2,Carbon Dioxide,285.5,,,,,
2003,Real estate activities,CO2,Carbon Dioxide,836.0,,,,,
2003,"Professional, scientific and technical activities",CO2,Carbon Dioxide,"2,239.4",,,,,
2003,Administrative and support service activities,CO2,Carbon Dioxide,"2,968.4",,,,,
2003,Public administration and defence; compulsory social security,CO2,Carbon Dioxide,"8,917.5",,,,,
2003,Education,CO2,Carbon Dioxide,"3,624.4",,,,,
2003,Human health and social work activities,CO2,Carbon Dioxide,"3,202.7",,,,,
2003,"Arts, entertainment and recreation",CO2,Carbon Dioxide,"1,237.6",,,,,
2003,Other service activities,CO2,Carbon Dioxide,"1,110.0",,,,,
2003,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,CO2,Carbon Dioxide,34.6,,,,,
2003,Consumer expenditure,CO2,Carbon Dioxide,"153,517.5",,,,,
2004,"Agriculture, forestry and fishing",CO2,Carbon Dioxide,"8,004.3",,,,,
2004,Mining and quarrying,CO2,Carbon Dioxide,"25,515.0",,,,,
2004,Manufacturing,CO2,Carbon Dioxide,"118,561.2",,,,,
2004,"Electricity, gas, steam and air conditioning supply",CO2,Carbon Dioxide,"183,532.9",,,,,
2004,"Water supply; sewerage, waste management and remediation activities",CO2,Carbon Dioxide,"3,721.0",,,,,
2004,Construction,CO2,Carbon Dioxide,"12,396.9",,,,,
2004,Wholesale and retail trade; repair of motor vehicles and motorcycles,CO2,Carbon Dioxide,"11,962.6",,,,,
2004,Transport and storage,CO2,Carbon Dioxide,"94,725.0",,,,,
2004,Accommodation and food services,CO2,Carbon Dioxide,"3,287.8",,,,,
2004,Information and communication,CO2,Carbon Dioxide,"1,058.1",,,,,
2004,Financial and insurance activities,CO2,Carbon Dioxide,271.9,,,,,
2004,Real estate activities,CO2,Carbon Dioxide,832.5,,,,,
2004,"Professional, scientific and technical activities",CO2,Carbon Dioxide,"2,148.3",,,,,
2004,Administrative and support service activities,CO2,Carbon Dioxide,"2,946.6",,,,,
2004,Public administration and defence; compulsory social security,CO2,Carbon Dioxide,"9,060.8",,,,,
2004,Education,CO2,Carbon Dioxide,"3,603.7",,,,,
2004,Human health and social work activities,CO2,Carbon Dioxide,"3,804.0",,,,,
2004,"Arts, entertainment and recreation",CO2,Carbon Dioxide,"1,191.0",,,,,
2004,Other service activities,CO2,Carbon Dioxide,"1,069.7",,,,,
2004,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,CO2,Carbon Dioxide,36.0,,,,,
2004,Consumer expenditure,CO2,Carbon Dioxide,"156,258.0",,,,,
2005,"Agriculture, forestry and fishing",CO2,Carbon Dioxide,"7,888.4",,,,,
2005,Mining and quarrying,CO2,Carbon Dioxide,"25,200.0",,,,,
2005,Manufacturing,CO2,Carbon Dioxide,"118,686.3",,,,,
2005,"Electricity, gas, steam and air conditioning supply",CO2,Carbon Dioxide,"185,034.5",,,,,
2005,"Water supply; sewerage, waste management and remediation activities",CO2,Carbon Dioxide,"4,211.6",,,,,
2005,Construction,CO2,Carbon Dioxide,"12,437.4",,,,,
2005,Wholesale and retail trade; repair of motor vehicles and motorcycles,CO2,Carbon Dioxide,"11,908.5",,,,,
2005,Transport and storage,CO2,Carbon Dioxide,"96,659.1",,,,,
2005,Accommodation and food services,CO2,Carbon Dioxide,"3,286.9",,,,,
2005,Information and communication,CO2,Carbon Dioxide,"1,049.4",,,,,
2005,Financial and insurance activities,CO2,Carbon Dioxide,263.9,,,,,
2005,Real estate activities,CO2,Carbon Dioxide,849.3,,,,,
2005,"Professional, scientific and technical activities",CO2,Carbon Dioxide,"2,114.1",,,,,
2005,Administrative and support service activities,CO2,Carbon Dioxide,"3,049.7",,,,,
2005,Public administration and defence; compulsory social security,CO2,Carbon Dioxide,"7,754.2",,,,,
2005,Education,CO2,Carbon Dioxide,"3,552.2",,,,,
2005,Human health and social work activities,CO2,Carbon Dioxide,"4,803.1",,,,,
2005,"Arts, entertainment and recreation",CO2,Carbon Dioxide,"1,254.2",,,,,
2005,Other service activities,CO2,Carbon Dioxide,"1,097.8",,,,,
2005,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,CO2,Carbon Dioxide,41.4,,,,,
2005,Consumer expenditure,CO2,Carbon Dioxide,"152,597.1",,,,,
2006,"Agriculture, forestry and fishing",CO2,Carbon Dioxide,"7,596.4",,,,,
2006,Mining and quarrying,CO2,Carbon Dioxide,"23,222.2",,,,,
2006,Manufacturing,CO2,Carbon Dioxide,"114,858.9",,,,,
